"ID",NAME,TRADEDATE,OPEN,HIGH,LOW,CLOSE,VALUE,DURATION,YIELD
RTSI,Индекс РТС,2006-09-14,1556.34,1577.94,1556.34,1566.39,37272246,,
RTSI,Индекс РТС,2006-09-15,1565.21,1567.66,1550.25,1550.68,26700662,,
RTSI,Индекс РТС,2006-09-18,1551.05,1568.66,1551.05,1567.15,28048953,,
RTSI,Индекс РТС,2006-09-19,1569.76,1583.44,1569.76,1577.85,13517754,,
RTSI,Индекс РТС,2006-09-20,1573.56,1573.56,1545.18,1554.31,39748227,,
RTSI,Индекс РТС,2006-09-21,1555.02,1557.25,1534.75,1534.75,26855076,,
RTSI,Индекс РТС,2006-09-22,1535.92,1537.4,1504.9,1504.9,42766502,,
RTSI,Индекс РТС,2006-09-25,1504.05,1504.05,1451.96,1452.54,62502098,,
RTSI,Индекс РТС,2006-09-26,1453.92,1484.13,1453.92,1484.13,32760042,,
RTSI,Индекс РТС,2006-09-27,1484.56,1522.54,1484.56,1519.06,52149088,,
RTSI,Индекс РТС,2006-09-28,1524.13,1558.93,1524.13,1558.85,52891478,,
RTSI,Индекс РТС,2006-09-29,1558.84,1563.19,1546.34,1549.99,63428889,,
RTSI,Индекс РТС,2006-10-02,1550.1,1564.51,1550.1,1557.23,56474327,,
RTSI,Индекс РТС,2006-10-03,1554.91,1554.91,1521.27,1522.75,50685817,,
RTSI,Индекс РТС,2006-10-04,1518.74,1523.67,1503.73,1520.96,42558897,,
RTSI,Индекс РТС,2006-10-05,1524.05,1567.11,1524.05,1566,61494685,,
RTSI,Индекс РТС,2006-10-06,1566.89,1567.49,1552.13,1554.99,23591740,,
RTSI,Индекс РТС,2006-10-09,1555.97,1587.75,1551.78,1587.59,28801553,,
RTSI,Индекс РТС,2006-10-10,1587.73,1597,1581.87,1584.25,48578739,,
RTSI,Индекс РТС,2006-10-11,1584.17,1585.55,1568.05,1585.55,46273847,,
RTSI,Индекс РТС,2006-10-12,1581.67,1581.96,1575,1581.63,51128708,,
RTSI,Индекс РТС,2006-10-13,1581.78,1612.5,1581.78,1610.44,62661656,,
RTSI,Индекс РТС,2006-10-16,1610.9,1622.36,1605.72,1612.01,27349035,,
RTSI,Индекс РТС,2006-10-17,1615.19,1628.64,1609.47,1609.47,34158928,,
RTSI,Индекс РТС,2006-10-18,1609.39,1626.4,1607.41,1626.4,58273989,,
RTSI,Индекс РТС,2006-10-19,1625.03,1638.7,1621.91,1638.7,46954426,,
RTSI,Индекс РТС,2006-10-20,1640.39,1647.92,1630.08,1630.47,20793001,,
RTSI,Индекс РТС,2006-10-23,1630.56,1634.38,1610.64,1618.26,38838382,,
RTSI,Индекс РТС,2006-10-24,1618.59,1620.68,1599.26,1608.84,28815948,,
RTSI,Индекс РТС,2006-10-25,1609.02,1630.86,1607.96,1630.46,20194843,,
RTSI,Индекс РТС,2006-10-26,1636.81,1648.44,1635.04,1636.03,47348297,,
RTSI,Индекс РТС,2006-10-27,1636.05,1636.05,1619.6,1627.24,59698713,,
RTSI,Индекс РТС,2006-10-30,1626.18,1626.18,1590.33,1590.33,30082210,,
RTSI,Индекс РТС,2006-10-31,1590.22,1614.83,1589.82,1613.57,22430550,,
RTSI,Индекс РТС,2006-11-01,1613.97,1645.51,1613.97,1644.86,39952797,,
RTSI,Индекс РТС,2006-11-02,1645.51,1645.51,1628.23,1629.34,51880422,,
RTSI,Индекс РТС,2006-11-03,1629.34,1641.5,1628.76,1641.48,28597256,,
RTSI,Индекс РТС,2006-11-07,1643.65,1676.56,1643.65,1674.95,63235520,,
RTSI,Индекс РТС,2006-11-08,1675.22,1675.22,1662.38,1663.19,39035697,,
RTSI,Индекс РТС,2006-11-09,1663.62,1695.98,1663.62,1693.41,47025624,,
RTSI,Индекс РТС,2006-11-10,1693.4,1707.61,1686.66,1706.7,39720319,,
RTSI,Индекс РТС,2006-11-13,1706.67,1717.63,1704.28,1704.47,46376849,,
RTSI,Индекс РТС,2006-11-14,1704.58,1706.8,1694.87,1699.66,68858109,,
RTSI,Индекс РТС,2006-11-15,1699.32,1706.99,1697.66,1705.84,47213895,,
RTSI,Индекс РТС,2006-11-16,1705.87,1714.44,1693.05,1713.46,49525479,,
RTSI,Индекс РТС,2006-11-17,1713.19,1713.19,1680.79,1688.97,48986879,,
RTSI,Индекс РТС,2006-11-20,1689.05,1691.69,1675.99,1677,50015985,,
